OrderNo|LineNumber|ProductID|VariationID|UnitPrice|UnitVat|Quantity
193-7207-2445|3|203266405|210598049|800.0|80.0|1
107-8432-4853|12|203266391|210598035|1545.0|154.5|1
193-7203-9253|7|203041177|209991216|1727.0|172.7|1
107-8440-2820|4|203041177|209991216|1727.0|172.7|1
193-7199-5729|3|203041337|209991379|1545.0|154.5|1
107-8430-9948|3|203041172|209991211|1091.0|109.1|1
451-2848-4337|2|203041482|209991536|818.0|81.8|1
279-6000-0959|6|13314170|38690024|1000.0|100.0|1
21-9316-2034|1|203263440|210588220|13091.0|1309.1|1
193-7206-2884|9|203266406|210598050|763.5|76.35|2
451-2849-3349|6|13317535|39100960|1364.0|136.4|1
365-4445-4776|1|203394547|210872216|1091.0|109.1|1
451-2841-8272|6|203041479|209991533|818.0|81.8|1
107-8432-5389|4|203041337|209991379|1545.0|154.5|1
365-4445-7852|3|202156530|207309405|800.0|80.0|1
107-8440-1330|2|203040894|209990930|2273.0|227.3|1
107-8433-5288|1|203329447|210728983|8000.0|800.0|1
107-8430-3144|3|203193581|210467160|2000.0|200.0|1
365-4411-9841|2|13317562|39100952|1364.0|136.4|1
193-7199-7787|1|203040894|209990930|2273.0|227.3|1
107-8439-8944|12|203041337|209991379|1545.0|154.5|1
107-8430-3144|2|203041482|209991536|818.0|81.8|1
451-2845-9213|2|203041334|209991376|1545.0|154.5|1
451-2845-9213|3|203041172|209991211|1091.0|109.1|1
193-7207-7351|1|203040894|209990930|2273.0|227.3|1
107-8425-7916|2|203041337|209991379|1403.0|140.3|1
193-7214-1635|3|203041178|209991217|1091.0|109.1|1
451-2848-9144|4|203040894|209990930|2273.0|227.3|1
107-8433-1164|6|202974758|209772454|2273.0|227.3|1
193-7206-0844|1|203040894|209990930|2273.0|227.3|1
451-2846-0215|1|203040888|209990924|2273.0|227.3|1
451-2848-9144|2|203266395|210598039|1545.0|154.5|1
451-2841-7419|4|203041174|209991213|1091.0|109.1|1
193-7199-7787|2|203041337|209991379|1545.0|154.5|1
279-5967-3414|1|201108952|203928737|2727.0|272.7|1
193-7214-1526|7|203185618|210444576|818.0|81.8|1
193-7213-8323|4|203041482|209991536|818.0|81.8|1
