""|"279-6020-4865"|"1"|"1.0"|"203130179"|"210222034"|"6.66"|"1.34"|"2"
""|"279-6010-9923"|"1"|"1.0"|"203432290"|"210974121"|"23.33"|"4.67"|"1"
""|"365-4466-2214"|"1"|"1.0"|"203130177"|"210222032"|"6.67"|"1.33"|"1"
""|"21-9338-1585"|"1"|"1.0"|"203130189"|"210222044"|"6.67"|"1.33"|"1"
""|"21-9337-7189"|"1"|"1.0"|"203011471"|"209879829"|"20.83"|"4.17"|"1"
""|"365-4461-3898"|"3"|"1.0"|"203432290"|"210974122"|"23.33"|"4.67"|"1"
""|"279-6013-6298"|"2"|"1.0"|"203432291"|"210974125"|"28.0"|"0.0"|"1"
""|"279-6023-0317"|"3"|"1.0"|"201031953"|"203528472"|"26.67"|"5.33"|"1"
""|"21-9330-8688"|"1"|"1.0"|"203432290"|"210974121"|"23.33"|"4.67"|"1"
""|"21-9330-3488"|"1"|"1.0"|"203432290"|"210974121"|"23.33"|"4.67"|"1"
""|"365-4460-5943"|"1"|"1.0"|"203130213"|"210222068"|"6.67"|"1.33"|"1"
""|"21-9334-2315"|"1"|"1.0"|"202679978"|"208938334"|"23.33"|"4.67"|"1"
""|"21-9329-1517"|"1"|"1.0"|"203122779"|"210191429"|"29.17"|"5.83"|"1"
""|"21-9332-8227"|"1"|"1.0"|"203110130"|"210153984"|"23.33"|"4.67"|"1"
""|"21-9339-4220"|"3"|"1.0"|"202981972"|"209789370"|"70.83"|"14.17"|"1"
""|"21-9334-5655"|"2"|"1.0"|"203110138"|"210154030"|"23.33"|"4.67"|"1"
""|"365-4468-1099"|"1"|"0.8675"|"202619219"|"208785863"|"33.69"|"7.08"|"1"
""|"279-6013-0042"|"6"|"1.0"|"203130185"|"210222040"|"6.67"|"1.33"|"1"
""|"21-9339-5069"|"4"|"1.0"|"203130183"|"210222038"|"6.67"|"1.33"|"1"
""|"21-9334-5092"|"1"|"1.0"|"203110157"|"210154166"|"45.83"|"9.17"|"1"
""|"365-4464-1334"|"1"|"1.0"|"203432291"|"210974127"|"28.0"|"0.0"|"1"
""|"365-4468-3016"|"1"|"1.0"|"203161033"|"210351230"|"17.0"|"3.4"|"2"
""|"279-6015-6029"|"2"|"1.0"|"203130178"|"210222033"|"6.66"|"1.34"|"2"
""|"365-4456-7281"|"1"|"1.0"|"203110130"|"210153984"|"23.33"|"4.67"|"1"
""|"21-9338-7928"|"2"|"1.0"|"201036536"|"203561844"|"20.0"|"4.0"|"1"
""|"365-4466-2004"|"1"|"1.0"|"201036552"|"203561948"|"25.0"|"0.0"|"1"
""|"21-9338-8039"|"1"|"1.0"|"201705488"|"205897835"|"37.5"|"7.5"|"1"
""|"279-6014-6088"|"3"|"1.0"|"203122782"|"210191449"|"29.17"|"5.83"|"1"
""|"365-4459-8706"|"4"|"1.0"|"203432291"|"210974129"|"23.33"|"4.67"|"1"
""|"365-4454-4886"|"1"|"1.0"|"203432290"|"210974121"|"23.33"|"4.67"|"1"
""|"365-4460-8477"|"1"|"1.0"|"202679980"|"208938345"|"48.33"|"9.67"|"1"
""|"279-6014-6472"|"3"|"1.0"|"203018008"|"209889866"|"20.83"|"4.17"|"1"
""|"279-6023-1847"|"1"|"1.0"|"203011478"|"209879836"|"17.71"|"3.54"|"1"
""|"365-4458-5041"|"1"|"1.0"|"203130186"|"210222041"|"6.67"|"1.33"|"1"
""|"21-9338-1585"|"2"|"1.0"|"203130179"|"210222034"|"6.67"|"1.33"|"3"
""|"279-6019-6877"|"1"|"0.868"|"203130202"|"210222057"|"10.42"|"0.0"|"4"
""|"21-9341-4036"|"2"|"1.0"|"203011493"|"209879851"|"20.83"|"4.17"|"1"
""|"21-9338-9717"|"2"|"0.868"|"202619211"|"208785817"|"19.06"|"4.38"|"1"
""|"21-9335-6027"|"1"|"1.0"|"203122790"|"210191504"|"50.0"|"10.0"|"1"
""|"21-9340-3128"|"3"|"0.7407"|"203130193"|"210222048"|"10.37"|"0.0"|"1"
""|"279-6013-0042"|"10"|"1.0"|"203130191"|"210222046"|"6.67"|"1.33"|"1"
""|"279-6019-6940"|"3"|"1.0"|"202981992"|"209789471"|"15.0"|"0.0"|"1"
""|"21-9333-4166"|"2"|"1.0"|"202679977"|"208938328"|"23.33"|"4.67"|"1"
""|"279-6023-0675"|"1"|"1.0"|"203018006"|"209889864"|"20.83"|"4.17"|"1"
""|"279-6019-7017"|"1"|"1.0"|"203293352"|"210676178"|"20.83"|"4.17"|"1"
""|"365-4459-8387"|"1"|"1.0"|"203432290"|"210974120"|"23.33"|"4.67"|"1"
""|"21-9339-1611"|"1"|"0.868"|"202626400"|"208802987"|"65.63"|"15.1"|"1"
""|"21-9333-0972"|"2"|"1.0"|"201031994"|"203528885"|"26.67"|"5.33"|"1"
""|"21-9339-3267"|"1"|"1.0"|"203130192"|"210222047"|"12.5"|"2.5"|"1"
""|"279-6021-5729"|"1"|"1.0"|"202626399"|"208802981"|"66.67"|"13.33"|"1"
""|"21-9341-1340"|"2"|"1.0"|"13366208"|"39710305"|"60.21"|"12.04"|"1"
""|"279-6013-0042"|"1"|"1.0"|"203130178"|"210222033"|"6.67"|"1.33"|"1"
""|"21-9339-5069"|"3"|"1.0"|"203130191"|"210222046"|"6.67"|"1.33"|"1"
""|"279-6014-6472"|"4"|"1.0"|"203018015"|"209889873"|"20.83"|"4.17"|"1"
""|"365-4462-3130"|"1"|"1.0"|"203110133"|"210154005"|"50.0"|"10.0"|"1"
